business_id,business_name,business_time
042E0121,从其他页面返回检索页刷新,2024-04-01 04:56:35.088
042E0117,旅客检索清空按钮,2024-04-01 04:56:35.590
042E0117,旅客检索清空按钮,2024-04-01 04:56:35.845
042E0115,旅客提取页签检索按钮,2024-04-01 04:56:42.110
042E0115,旅客提取页签检索按钮,2024-04-01 04:56:45.189
042E0118,序号输入框选中旅客,2024-04-01 04:56:46.493
040O0200,值机页面加载,2024-04-01 04:56:47.652
040O0211,点击座位图刷新,2024-04-01 04:56:48.203
040O0204,旅客处理按钮,2024-04-01 04:56:50.468
040O0238,重打登机牌按钮,2024-04-01 04:56:52.041
040O0238,重打登机牌按钮,2024-04-01 04:56:52.510
042E0121,从其他页面返回检索页刷新,2024-04-01 04:57:19.222
042E0117,旅客检索清空按钮,2024-04-01 04:57:19.670
042E0117,旅客检索清空按钮,2024-04-01 04:57:19.907
042E0117,旅客检索清空按钮,2024-04-01 04:57:20.165
042E0115,旅客提取页签检索按钮,2024-04-01 04:57:27.532
042E0146,重打登机牌按钮,2024-04-01 04:57:29.559
042E0146,重打登机牌按钮,2024-04-01 04:57:30.011
040O0200,值机页面加载,2024-04-01 04:57:36.133
040O0211,点击座位图刷新,2024-04-01 04:57:36.524
040O0204,旅客处理按钮,2024-04-01 04:57:39.878
042E0121,从其他页面返回检索页刷新,2024-04-01 04:58:00.309
042E0117,旅客检索清空按钮,2024-04-01 04:58:01.062
042E0117,旅客检索清空按钮,2024-04-01 04:58:07.957
042E0117,旅客检索清空按钮,2024-04-01 04:58:08.261
042E0115,旅客提取页签检索按钮,2024-04-01 04:58:14.335
040O0200,值机页面加载,2024-04-01 04:58:15.863
040O0211,点击座位图刷新,2024-04-01 04:58:16.348
040O0204,旅客处理按钮,2024-04-01 04:58:19.290
01010915,关闭所有页面,2024-04-01 04:58:25.573
042E0117,旅客检索清空按钮,2024-04-01 04:58:26.167
042E0115,旅客提取页签检索按钮,2024-04-01 04:58:28.281
040O0200,值机页面加载,2024-04-01 04:58:29.797
040O0211,点击座位图刷新,2024-04-01 04:58:30.296
040O0204,旅客处理按钮,2024-04-01 04:58:33.049
042E0121,从其他页面返回检索页刷新,2024-04-01 04:58:42.082
042E0117,旅客检索清空按钮,2024-04-01 04:58:42.358
042E0117,旅客检索清空按钮,2024-04-01 04:58:42.678
042E0115,旅客提取页签检索按钮,2024-04-01 04:58:45.981
042E0171,国际证件校验按钮,2024-04-01 04:58:56.671
042F0801,国际证件-更新按钮,2024-04-01 04:58:58.114
042F0812,证件校验-校验成功后，是否继续值机处理确定按钮,2024-04-01 04:59:02.265
040O0211,点击座位图刷新,2024-04-01 04:59:02.676
040O0212,切换到联程段座位输入框后自动展示联程段座位图,2024-04-01 04:59:06.530
040O0204,旅客处理按钮,2024-04-01 04:59:12.418
040O0204,旅客处理按钮,2024-04-01 04:59:20.833
040O0204,旅客处理按钮,2024-04-01 04:59:21.279
042F0800,国际证件校验页面加载,2024-04-01 04:59:41.274
042E0121,从其他页面返回检索页刷新,2024-04-01 04:59:43.434
042E0117,旅客检索清空按钮,2024-04-01 04:59:43.682
042E0117,旅客检索清空按钮,2024-04-01 04:59:44.020
042E0115,旅客提取页签检索按钮,2024-04-01 04:59:47.809
040O0200,值机页面加载,2024-04-01 04:59:50.624
040O0211,点击座位图刷新,2024-04-01 04:59:51.107
040O0204,旅客处理按钮,2024-04-01 05:00:03.764
042E0121,从其他页面返回检索页刷新,2024-04-01 05:00:33.477
042E0117,旅客检索清空按钮,2024-04-01 05:00:33.844
042E0117,旅客检索清空按钮,2024-04-01 05:00:34.111
042E0117,旅客检索清空按钮,2024-04-01 05:00:34.354
