business_id,BP,KC,PG,BT,DIST,SUB,business_class,class_name,target
040O0200,4,24,2,0,190.5938,2.136,4,值机接收,1
040O0211,4,24,2,11,11.0,0.689,4,值机接收,0
040O0204,4,24,2,4,7.0,22.738,4,值机接收,4
01010917,1,1,9,17,27.4955,23.553,5,结束,3
042E0115,4,214,1,15,213.1807,5.692,2,检索提取,1
040O0200,4,24,2,0,190.5938,2.115,4,值机接收,1
040O0211,4,24,2,11,11.0,0.636,4,值机接收,0
040O0204,4,24,2,4,7.0,15.655,4,值机接收,4
040O0204,4,24,2,4,0.0,20.957,4,值机接收,4
01010917,1,1,9,17,27.4955,23.667,5,结束,3
042E0117,4,214,1,17,213.1713,0.3,5,结束,1
042E0115,4,214,1,15,2.0,7.432,2,检索提取,0
040O0200,4,24,2,0,190.5938,1.849,4,值机接收,1
040O0211,4,24,2,11,11.0,0.602,4,值机接收,0
040O0204,4,24,2,4,7.0,4.309,4,值机接收,0
040O0238,4,24,2,38,34.0,2.353,9,重打牌,3
040O0238,4,24,2,38,0.0,0.712,9,重打牌,0
042E0121,4,214,1,21,190.7616,39.912,5,结束,1
042E0115,4,214,1,15,6.0,2.005,2,检索提取,0
042E0118,4,214,1,18,3.0,1.457,2,检索提取,0
042E0146,4,214,1,46,28.0,1.322,9,重打牌,3
042E0146,4,214,1,46,0.0,0.504,9,重打牌,0
042E0115,4,214,1,15,31.0,12.846,2,检索提取,3
042E0118,4,214,1,18,3.0,1.509,2,检索提取,0
042E0189,4,214,1,89,71.0,0.083,2,检索提取,2
042E0146,4,214,1,46,43.0,0.558,9,重打牌,3
042E0146,4,214,1,46,0.0,0.683,9,重打牌,0
01010917,1,1,9,17,215.1348,5.528,5,结束,1
042E0115,4,214,1,15,213.1807,13.949,2,检索提取,1
042E0115,4,214,1,15,0.0,4.897,2,检索提取,0
042E0118,4,214,1,18,3.0,1.322,2,检索提取,0
040O0200,4,24,2,0,190.8533,1.429,4,值机接收,1
040O0211,4,24,2,11,11.0,0.552,4,值机接收,0
040O0204,4,24,2,4,7.0,5.917,4,值机接收,0
040O0204,4,24,2,4,0.0,2.544,4,值机接收,0
040O0204,4,24,2,4,0.0,24.321,4,值机接收,4
040O0210,4,24,2,10,6.0,7.242,4,值机接收,0
040O0204,4,24,2,4,6.0,1.716,4,值机接收,0
01010917,1,1,9,17,27.4955,21.089,5,结束,3
042E0117,4,214,1,17,213.1713,0.382,5,结束,1
042E0115,4,214,1,15,2.0,10.852,2,检索提取,0
040O0200,4,24,2,0,190.5938,5.295,4,值机接收,1
040O0211,4,24,2,11,11.0,0.425,4,值机接收,0
040O0204,4,24,2,4,7.0,1.731,4,值机接收,0
01010917,1,1,9,17,27.4955,17.791,5,结束,3
042E0115,4,214,1,15,213.1807,12.107,2,检索提取,1
042E0115,4,214,1,15,0.0,5.216,2,检索提取,0
042E0118,4,214,1,18,3.0,1.389,2,检索提取,0
042E0118,4,214,1,18,0.0,2.046,2,检索提取,0
040O0200,4,24,2,0,190.8533,4.382,4,值机接收,1
040O0211,4,24,2,11,11.0,0.776,4,值机接收,0
040O0204,4,24,2,4,7.0,18.425,4,值机接收,4
040O0204,4,24,2,4,0.0,9.215,4,值机接收,0
040O0204,4,24,2,4,0.0,0.631,4,值机接收,0
040O0204,4,24,2,4,0.0,36.632,4,值机接收,4
040O0204,4,24,2,4,0.0,1.739,4,值机接收,0
040O0270,4,24,2,70,66.0,33.719,10,旅客详情,2
01010917,1,1,9,17,58.2752,4.813,5,结束,2
042E0117,4,214,1,17,213.1713,0.35,5,结束,1
042E0115,4,214,1,15,2.0,2.733,2,检索提取,0
042E0188,4,214,1,88,73.0,2.048,2,检索提取,2
042E0115,4,214,1,15,73.0,11.664,2,检索提取,2
042E0118,4,214,1,18,3.0,1.487,2,检索提取,0
042E0118,4,214,1,18,0.0,1.82,2,检索提取,0
042E0146,4,214,1,46,28.0,7.531,9,重打牌,3
042E0146,4,214,1,46,0.0,2.297,9,重打牌,0
040O0200,4,24,2,0,195.4917,5.143,4,值机接收,1
040O0211,4,24,2,11,11.0,0.467,4,值机接收,0
040O0204,4,24,2,4,7.0,2.173,4,值机接收,0
040O0204,4,24,2,4,0.0,0.777,4,值机接收,0
040O0204,4,24,2,4,0.0,45.209,4,值机接收,4
040O0204,4,24,2,4,0.0,1.223,4,值机接收,0
040O0204,4,24,2,4,0.0,51.463,4,值机接收,4
040O0204,4,24,2,4,0.0,0.681,4,值机接收,0
